Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Sample Purge Flow,Balance Purge Flow, 
5.816667,4.444507,0.000000,131.540000,129.470000,0.000000,0.100000, 
5.833333,4.444507,0.000000,131.870000,129.800000,0.000000,0.100000, 
5.850000,4.444471,0.000000,132.210000,130.130000,0.000000,0.100000, 
5.866667,4.444471,0.000000,132.540000,130.470000,0.000000,0.100000, 
5.883333,4.444436,0.000000,132.870000,130.810000,0.000000,0.100000, 
5.900000,4.444436,0.000000,133.210000,131.160000,0.000000,0.100000, 
5.916667,4.444400,0.000000,133.540000,131.480000,0.000000,0.100000, 
5.933333,4.444400,0.000000,133.880000,131.810000,0.000000,0.100000, 
5.950000,4.444400,0.000000,134.210000,132.140000,0.000000,0.100000, 
5.966667,4.444365,0.000000,134.540000,132.480000,0.000000,0.100000, 
5.983333,4.444365,0.000000,134.880000,132.820000,0.000000,0.100000, 
6.000000,4.444329,0.000000,135.210000,133.160000,0.000000,0.100000, 
6.016667,4.444329,0.000000,135.540000,133.490000,0.000000,0.100000, 
6.033333,4.444294,0.000000,135.870000,133.820000,0.000000,0.100000, 
6.050000,4.444258,0.000000,136.210000,134.160000,0.000000,0.100000, 
6.066667,4.444223,0.000000,136.540000,134.480000,0.000000,0.100000, 
6.083333,4.444223,0.000000,136.870000,134.820000,0.000000,0.100000, 
6.100000,4.444187,0.000000,137.210000,135.160000,0.000000,0.100000, 
6.116667,4.444152,0.000000,137.540000,135.490000,0.000000,0.100000, 
6.133333,4.444116,0.000000,137.880000,135.830000,0.000000,0.100000, 
6.150000,4.444116,0.000000,138.210000,136.160000,0.000000,0.100000, 
6.166667,4.444081,0.000000,138.540000,136.500000,0.000000,0.100000, 
