Storage Modulus (MPa),,,,,,,Loss Modulus (MPa),,,,,,,Tan Delta,,,,,
PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,
Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),,Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta
,,149.945,39.2784,132.95,830.438,,,,,,132.95,117.138,,,,151.172,2.09182,132.95,0.14106
,,150.253,45.3764,133.184,824.062,,,,,,133.184,116.385,,,,151.473,2.10989,133.184,0.14123
,,151.172,48.6204,133.486,817.076,,,,,,133.486,115.648,,,,151.783,2.1609,133.486,0.14154
,,151.473,52.7463,133.754,811.066,,,,,,133.754,115.073,,,,152.711,2.18452,133.754,0.14188
,,151.783,54.4254,133.991,805.95,,,,,,133.991,114.639,,,,153.642,2.24286,133.991,0.14224
,,152.711,58.752,134.262,800.453,,,,,,134.262,114.269,,,,154.256,2.27613,134.262,0.14275
,,153.642,63.4874,134.491,795.579,,,,,,134.491,114.04,,,,155.185,2.16116,134.491,0.14334
,,154.256,65.5325,134.794,788.987,,,,,,134.794,113.862,,,,155.505,2.05503,134.794,0.14431
,,155.185,--,135.071,782.255,,,,,,135.071,113.759,,,,156.426,1.69611,135.071,0.14542
,,155.505,--,135.304,775.501,,,,,,135.304,113.638,,,,157.338,1.44808,135.304,0.14654
,,156.426,--,135.57,767.281,,,,,,135.57,113.531,,,,,,135.57,0.14797
,,157.338,--,135.807,759.234,,,,,,135.807,113.362,,,,,,135.807,0.14931
,,157.642,--,136.078,750.266,,,,,,136.078,113.28,,,,,,136.078,0.15099
,,157.959,--,136.307,741.954,,,,,,136.307,113.179,,,,,,136.307,0.15254
,,158.273,--,136.608,731.541,,,,,,136.608,113.24,,,,,,136.608,0.1548
,,158.586,--,136.879,721.702,,,,,,136.879,113.415,,,,,,136.879,0.15715
,,158.892,--,137.111,712.832,,,,,,137.111,113.669,,,,,,137.111,0.15946
